id,title,platform,score,genre,editors_choice
55,The World Ends with You: Solo Remix,iPhone,9.5,RPG,Y
56,Counter-Strike: Global Offensive,Xbox 360,8,Shooter,N
57,Madden NFL 13,PlayStation Vita,6,Sports,N
58,Madden NFL 13,PlayStation 3,9,Sports,Y
59,Madden NFL 13,Xbox 360,9,Sports,Y
60,Hoodwink,PC,2.5,Adventure,N
61,NBA 2K13,PlayStation 3,9.1,Sports,Y
62,NBA 2K13,PC,9.1,Sports,Y
63,Lili: Child of Geos,iPhone,7,Adventure,N
64,Marvel vs. Capcom Origins,Xbox 360,8.2,Fighting,N
65,Marvel vs. Capcom Origins,PlayStation 3,8.2,Fighting,N
66,Dead or Alive 5,PlayStation 3,8.8,Fighting,N
67,Dead or Alive 5,Xbox 360,8.8,Fighting,N
68,Medal of Honor Warfighter,PC,4,Shooter,N
69,Professor Layton and the Miracle Mask,Nintendo 3DS,8.7,Adventure,Y
70,Hotline Miami,PC,8.8,Action,Y
71,Edna & Harvey: Harvey's New Eyes,PC,6,Adventure,N
72,Medal of Honor Warfighter,PlayStation 3,4,Shooter,N
73,Medal of Honor Warfighter,Xbox 360,4,Shooter,N
74,Transformers: Fall of Cybertron,Xbox 360,8.5,Shooter,N
75,Transformers: Fall of Cybertron,PlayStation 3,8.5,Shooter,N
76,Hero Academy,PC,9,Board,Y
77,Hero Academy,iPhone,9,Strategy,Y
78,Puzzle Craft,iPhone,9,Puzzle,Y
79,Realms Of Ancient War,Xbox 360,5.5,Action,N
80,Realms Of Ancient War,PlayStation 3,5.5,Action,N
81,Anomaly: Warzone Earth,PlayStation 3,8.2,Action,N
82,Darksiders II,PC,7.5,Action,N
83,Left 4 Dead 2: Cold Stream,Macintosh,7,Shooter,N
84,Left 4 Dead 2: Cold Stream,PC,7,Shooter,N
85,Puzzle Craft,Android,9,Puzzle,Y
86,Left 4 Dead 2: Cold Stream,Xbox 360,7,Shooter,N
87,Horn,iPhone,9,"Action, Adventure",Y
88,Forza Horizon,Xbox 360,9,Racing,Y
89,FIFA Soccer 13,PlayStation Vita,4,Sports,N
90,Mugen Souls,PlayStation 3,3.9,"Strategy, RPG",N
91,Crazy Taxi,iPhone,7.1,"Racing, Action",N
92,New Little King's Story,PlayStation Vita,5.8,RPG,N
93,Fable: The Journey,Xbox 360,7.2,"Action, RPG",N
94,The Lord of the Rings Online: Riders of Rohan,PC,8.3,RPG,N
95,Doom 3: BFG Edition,Xbox 360,7.6,RPG,N
96,Rugby League Live 2,Xbox 360,6,Sports,N
97,Rugby League Live 2,PlayStation 3,6,Sports,N
98,Doom 3: BFG Edition,PlayStation 3,7.6,RPG,N
99,Punch Quest,iPhone,9.3,Action,Y
